ct_1,ct_2,ct_3,ct_4,ct_6,ct_12,ct_13,ct_15,ct_16,ct_17,ct_19,ct_20,ct_22,ct_25,ct_23,ct_29,ct_27,ct_31,ct_32,ct_33,ct_36,ct_37,ct_38,srq_1,srq_2,srq_3,srq_4,srq_5,srq_6,srq_7,srq_8,srq_9,srq_10,srq_11,srq_12,srq_13,srq_14,srq_15,srq_16,srq_17,srq_18,srq_19,srq_20,gen,raca,idade,estado_civil,escol,renda_familiar,depend_renda,contrato
4,4,3,3,4,5,5,3,5,3,4,4,4,4,5,5,4,4,4,4,1,5,4,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,Masculino,Branca,42,Casado,Doutorado,20000,3,Concursado
2,2,1,1,1,1,5,4,3,3,4,3,1,3,2,1,3,2,1,5,1,2,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Feminino,Parda,52,União estável,Mestrado,15000,5,Concursado
4,3,3,4,2,4,5,4,5,4,4,4,4,3,3,3,2,2,2,2,1,2,3,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,Feminino,Branca,53,Casado,Doutorado,14000,4,Concursado
4,3,4,4,1,2,3,4,4,4,4,3,2,4,5,4,3,3,2,3,1,3,3,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,Feminino,Branca,52,Casado,Doutorado,20000,4,Concursado
3,2,1,1,1,1,4,3,3,3,1,2,1,2,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminino,Branca,65,Solteiro,Doutorado,15000,3,Concursado
1,1,2,1,1,5,5,5,5,4,4,4,3,4,4,4,4,3,2,3,1,3,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Feminino,Parda,53,Casado,Doutorado,30000,5,Concursado
2,2,2,2,1,5,5,3,4,4,4,4,3,5,3,2,4,4,4,4,2,5,3,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,Feminino,Amarela,48,Casado,Doutorado,16000,5,Concursado
1,1,1,1,1,2,4,3,2,2,1,2,5,1,5,5,2,2,1,2,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Parda,62,Casado,Mestrado,13000,2,Concursado
3,3,2,2,2,3,3,4,4,4,4,3,2,4,5,5,3,4,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Masculino,Branca,37,Casado,Doutorado,20000,5,Concursado
2,4,2,2,1,1,4,5,4,3,4,4,2,4,3,5,4,3,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Masculino,Branca,58,União estável,Doutorado,10000,4,Concursado
3,4,3,2,1,3,3,5,4,3,4,3,2,4,5,5,4,3,3,3,3,1,3,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,Masculino,Branca,37,Solteiro,Doutorado,9000,4,Concursado
2,2,1,2,1,3,4,5,5,4,3,3,5,4,5,5,5,2,2,2,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminino,Amarela,55,Casado,Doutorado,10000,3,Concursado
2,3,2,3,1,4,4,5,4,3,5,4,3,4,4,3,4,4,4,2,1,2,2,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,Masculino,Branca,39,Casado,Doutorado,15000,3,Concursado
2,2,4,2,3,4,4,4,4,4,4,4,5,4,5,4,4,4,3,3,1,2,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,Masculino,Branca,44,Casado,Doutorado,17000,4,Concursado
1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Branca,56,Casado,Doutorado,10000,3,Concursado
2,2,2,2,1,4,4,4,4,5,5,4,3,3,4,4,1,2,2,4,1,4,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Feminino,Branca,47,Casado,Doutorado,18000,4,Concursado
2,3,2,2,1,2,3,5,4,3,2,3,1,3,4,4,3,3,3,3,2,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,Masculino,Parda,45,União estável,Doutorado,18000,2,Concursado
2,2,1,2,1,3,3,4,4,3,3,4,1,4,4,4,2,2,1,2,1,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,Feminino,Branca,61,Casado,Doutorado,20000,1,Concursado
3,4,3,4,1,2,5,5,5,5,5,5,5,5,5,5,4,3,4,4,3,3,3,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,Feminino,Parda,52,Casado,Doutorado,15000,3,Concursado
3,3,3,3,1,5,4,4,5,4,5,4,4,3,2,4,1,2,2,2,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Branca,55,Casado,Doutorado,18000,3,Concursado
2,3,4,3,2,5,5,5,4,5,5,5,5,4,5,5,2,2,2,2,1,2,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,Feminino,Branca,49,União estável,Doutorado,12000,1,Concursado
3,3,3,3,1,5,4,4,2,4,3,3,2,3,5,3,5,5,5,4,1,3,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Masculino,Branca,35,Casado,Doutorado,20000,2,Concursado
3,2,3,2,2,1,3,5,3,4,5,5,3,3,5,3,4,4,4,5,1,4,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Masculino,Branca,44,Casado,Doutorado,16000,2,Concursado
3,3,3,3,4,5,5,5,5,5,5,5,5,4,4,5,3,3,4,2,1,3,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,Masculino,Preta,47,Solteiro,Doutorado,10000,4,Concursado
3,4,1,5,1,1,5,5,5,5,4,3,3,5,3,3,3,3,1,3,1,2,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,Masculino,Parda,33,Solteiro,Doutorado,7000,1,Concursado
2,2,2,2,1,2,1,2,2,3,2,2,2,2,2,3,1,3,1,3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Branca,51,Casado,Doutorado,20000,5,Concursado
2,2,1,2,1,1,4,3,4,3,4,4,4,3,3,3,2,2,1,2,1,5,2,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,Feminino,Branca,57,Divorciado,Doutorado,15000,1,Concursado
3,3,3,3,2,4,4,4,3,3,4,3,4,3,3,4,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Parda,33,Casado,Doutorado,15000,2,Concursado
3,2,2,4,1,3,1,3,4,4,4,3,3,4,3,3,3,3,3,3,1,4,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Feminino,Branca,39,Solteiro,Mestrado,14000,5,Concursado
3,4,1,2,1,2,5,4,5,2,5,5,1,4,5,5,1,3,1,4,1,3,2,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,Masculino,Parda,54,Casado,Mestrado,10000,6,Concursado
4,3,4,3,1,4,3,5,3,3,2,2,2,4,4,4,4,4,4,5,2,5,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,Feminino,Preta,50,Casado,Doutorado,13000,3,Concursado
3,3,4,1,1,1,4,5,3,4,2,5,5,3,5,5,1,1,3,2,1,2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,Feminino,Parda,39,Casado,Doutorado,17880,3,Concursado
3,3,2,3,3,3,5,4,4,3,3,2,1,3,4,5,3,4,3,5,1,5,4,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,Feminino,Parda,43,Casado,Doutorado,20000,3,Concursado
1,1,4,5,1,2,2,4,3,3,2,2,1,2,4,3,3,3,3,2,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,Masculino,Branca,49,Solteiro,Doutorado,7000,1,Concursado
2,2,3,2,1,3,4,4,4,3,4,3,3,3,3,2,3,2,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Feminino,Branca,46,Casado,Doutorado,10000,4,Concursado
2,2,2,2,2,2,1,3,2,2,3,3,2,2,4,4,4,4,3,4,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminino,Parda,48,Casado,Doutorado,30000,4,Concursado
4,3,2,3,1,3,4,4,4,4,4,4,3,4,4,3,5,4,3,3,2,3,2,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,Feminino,Parda,51,Solteiro,Doutorado,10000,5,Concursado
3,2,2,3,5,3,3,1,2,4,4,2,2,2,4,3,2,2,2,4,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,Feminino,Parda,47,Divorciado,Graduação,17880,2,Concursado
2,2,2,2,2,2,4,4,1,3,3,4,2,2,3,3,1,2,2,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,Feminino,Parda,45,Casado,Doutorado,15000,5,Concursado
2,2,4,2,1,3,4,4,4,3,3,3,4,3,3,4,2,3,3,3,1,3,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,Feminino,Branca,64,Solteiro,Doutorado,13000,9,Concursado
2,3,3,2,1,3,4,5,5,5,3,3,3,5,5,2,5,5,3,2,1,1,2,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,Masculino,Preta,67,Casado,Doutorado,15000,3,Concursado
3,3,4,3,3,4,3,4,3,3,3,3,3,4,4,4,3,3,4,3,2,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Masculino,Branca,54,Casado,Doutorado,20000,4,Concursado
3,3,2,2,1,3,3,4,4,4,4,4,3,4,4,4,3,3,3,4,1,2,3,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,Feminino,Branca,37,Solteiro,Doutorado,8000,1,Concursado
1,3,2,1,1,3,4,4,3,3,3,5,2,5,5,5,2,3,3,5,2,5,2,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,Masculino,Branca,39,Casado,Doutorado,18000,3,Concursado
4,4,2,5,2,5,5,5,5,5,3,4,4,5,5,5,1,3,3,4,1,3,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,Feminino,Parda,34,União estável,Doutorado,19072,3,Concursado
2,4,3,3,1,5,5,4,4,4,2,4,5,4,3,5,4,4,3,3,2,3,2,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,Feminino,Branca,44,Divorciado,Mestrado,4000,3,Concursado
2,2,1,2,1,3,3,3,3,3,1,3,3,2,5,3,4,4,4,4,2,3,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Masculino,Branca,55,Solteiro,Doutorado,15000,2,Concursado
2,3,4,3,1,3,3,3,4,3,4,3,3,3,5,5,4,3,3,3,1,1,2,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Masculino,Parda,44,Casado,Mestrado,20000,5,Concursado
3,3,3,2,2,2,2,3,2,3,2,3,2,2,4,4,3,3,3,3,1,2,2,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,Masculino,Branca,49,Casado,Doutorado,20000,4,Concursado
3,2,2,3,1,4,4,4,3,5,2,4,2,3,5,5,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,Feminino,Branca,26,Solteiro,Mestrado,4000,2,Substituto ou temporário
3,2,2,2,2,2,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Parda,31,Casado,Doutorado,17000,1,Concursado
1,1,3,1,5,3,3,2,4,3,2,2,2,2,4,4,2,2,2,2,1,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,Feminino,Branca,36,Casado,Doutorado,10000,3,Concursado
4,4,4,2,4,5,3,5,5,4,3,5,5,2,5,5,1,1,1,1,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminino,Branca,49,Casado,Doutorado,11920,4,Concursado
2,2,3,2,1,3,4,4,3,3,3,4,3,3,4,3,2,3,2,3,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Feminino,Parda,39,Solteiro,Doutorado,9000,1,Concursado
3,3,2,4,1,2,3,5,5,4,4,4,3,5,5,4,4,4,4,4,3,2,4,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,Feminino,Branca,53,Divorciado,Doutorado,13000,1,Concursado
3,3,2,2,2,2,4,2,3,3,4,4,3,2,3,2,3,3,3,3,1,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Parda,56,Casado,Doutorado,30000,5,Concursado
4,4,4,2,4,5,3,5,5,4,3,5,5,2,5,5,1,1,1,1,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminino,Branca,49,Casado,Doutorado,11920,4,Concursado
3,3,2,3,1,3,4,3,2,3,5,3,2,2,5,4,2,2,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Masculino,Parda,46,União estável,Doutorado,9000,1,Concursado
2,1,2,2,1,2,3,3,2,3,3,3,3,3,4,3,2,2,1,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminino,Branca,46,Casado,Doutorado,22000,4,Concursado
3,3,2,2,1,3,3,4,3,3,5,4,4,3,4,4,3,3,2,3,2,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,Masculino,Parda,33,Casado,Doutorado,9000,3,Concursado
4,4,4,2,4,5,3,5,5,4,3,5,5,2,5,5,1,1,1,1,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminino,Branca,49,Casado,Doutorado,11920,4,Concursado
3,3,4,1,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,1,2,3,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,Feminino,Branca,45,Divorciado,Doutorado,15000,3,Concursado
3,3,4,3,4,5,5,4,4,3,2,5,2,5,5,5,1,2,2,3,4,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,Feminino,Preta,40,Casado,Doutorado,11920,3,Concursado
1,1,1,1,1,1,1,5,4,4,4,1,1,3,3,3,3,3,1,1,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Masculino,Branca,51,Casado,Mestrado,18000,5,Concursado
2,5,5,4,2,5,5,5,5,4,4,4,4,4,5,5,2,4,4,5,1,5,3,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,Masculino,Branca,37,Casado,Doutorado,25000,8,Concursado
3,3,3,3,2,3,4,4,4,5,5,3,1,3,4,3,2,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Feminino,Branca,40,Casado,Doutorado,12000,3,Concursado
3,3,2,2,4,2,5,5,5,5,4,5,1,3,5,4,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Feminino,Parda,40,Casado,Doutorado,19000,4,Concursado
4,4,4,3,2,4,4,4,5,5,4,4,3,5,4,2,3,4,4,4,1,5,2,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,Feminino,Branca,38,Casado,Doutorado,12000,2,Concursado
2,3,4,2,1,2,4,5,4,4,3,5,4,5,5,5,2,1,1,2,1,3,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,Feminino,Parda,49,União estável,Doutorado,11000,2,Concursado
3,2,2,3,1,1,3,5,5,4,3,3,2,4,5,3,1,2,3,2,1,2,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,Masculino,Indígena,37,Casado,Doutorado,19000,2,Concursado
2,2,2,2,1,3,4,4,3,4,3,5,3,3,4,4,3,4,2,3,2,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Masculino,Parda,55,União estável,Doutorado,25000,2,Concursado
4,3,3,3,1,5,3,5,4,5,5,5,4,4,5,4,1,1,1,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Branca,30,Solteiro,Mestrado,5000,2,Concursado
4,4,3,3,1,3,4,5,4,3,5,3,2,1,4,5,3,4,3,4,1,2,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Feminino,Branca,35,União estável,Doutorado,17000,4,Substituto ou temporário
4,4,4,4,2,5,5,5,5,5,3,5,5,5,5,5,5,5,5,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Masculino,Branca,45,Casado,Doutorado,17000,4,Concursado
1,2,1,1,1,3,5,4,5,5,3,5,5,5,5,5,5,3,3,2,1,3,3,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Feminino,Branca,52,Casado,Doutorado,22000,4,Concursado
3,3,2,3,1,1,4,5,5,3,3,3,2,4,5,5,5,5,5,4,3,2,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Masculino,Branca,68,Solteiro,Doutorado,13000,1,Concursado
3,2,1,2,1,3,4,4,4,4,5,5,4,4,3,3,4,4,3,3,2,4,3,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,Feminino,Branca,61,Casado,Doutorado,17880,6,Concursado
2,3,3,3,2,4,5,3,3,4,3,5,3,4,4,4,3,3,3,2,3,2,3,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,Masculino,Branca,30,União estável,Graduação,59600,5,Substituto ou temporário
3,3,5,3,4,4,3,4,4,5,4,4,4,4,5,4,1,3,1,3,1,2,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,Feminino,Branca,39,Casado,Doutorado,22000,4,Concursado
