ct_1,ct_2,ct_3,ct_4,ct_6,ct_12,ct_13,ct_15,ct_16,ct_17,ct_19,ct_20,ct_22,ct_25,ct_23,ct_29,ct_27,ct_31,ct_32,ct_33,ct_36,ct_37,ct_38,srq_1,srq_2,srq_3,srq_4,srq_5,srq_6,srq_7,srq_8,srq_9,srq_10,srq_11,srq_12,srq_13,srq_14,srq_15,srq_16,srq_17,srq_18,srq_19,srq_20,gen,raca,idade,estado_civil,escol,renda_familiar,depend_renda,contrato
1,2,2,2,1,3,5,3,3,1,2,5,2,4,5,5,2,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Parda,45,Casado,Doutorado,25000,4,Concursado
3,3,2,3,2,5,4,4,3,4,4,4,3,4,4,4,4,4,3,3,3,3,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Feminino,Parda,42,Casado,Doutorado,18000,3,Concursado
2,2,2,2,1,1,3,3,2,3,3,3,4,3,3,4,3,3,3,3,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Feminino,Parda,52,Divorciado,Doutorado,15000,1,Concursado
4,3,2,2,1,2,3,5,4,2,1,3,1,2,5,5,2,2,2,3,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,Masculino,Branca,29,Solteiro,Mestrado,8000,1,Substituto ou temporário
3,3,2,3,1,2,5,4,4,2,3,4,1,3,4,3,3,3,3,3,1,4,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Masculino,Branca,58,Casado,Doutorado,12000,5,Concursado
3,3,4,3,2,3,3,4,4,3,4,5,4,4,4,5,3,3,2,3,2,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Feminino,Parda,38,União estável,Doutorado,17000,4,Concursado
3,3,3,4,1,5,5,4,3,4,5,5,5,4,4,3,4,4,4,4,2,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Branca,47,Casado,Doutorado,18000,4,Concursado
2,2,2,2,2,2,3,4,2,3,3,3,1,4,4,4,2,3,3,3,1,2,3,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,Feminino,Branca,49,União estável,Doutorado,20000,2,Concursado
3,3,3,3,2,3,5,4,3,4,5,4,4,3,4,4,4,3,3,3,1,4,3,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,Feminino,Parda,52,Viúvo,Doutorado,12000,3,Concursado
2,2,2,1,1,3,3,4,3,3,2,4,3,3,4,4,3,3,2,2,1,3,2,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,Feminino,Parda,60,Casado,Doutorado,15000,2,Concursado
1,1,3,3,1,1,3,3,3,3,3,3,1,3,3,5,3,3,1,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Masculino,Parda,42,Solteiro,Doutorado,9000,1,Concursado
3,3,2,2,2,4,5,5,5,4,5,5,5,4,4,3,3,3,3,3,1,3,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,Masculino,Parda,47,União estável,Doutorado,18000,4,Concursado
3,3,3,3,4,4,5,5,5,4,5,5,5,5,4,3,5,5,5,4,3,5,5,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,Masculino,Indígena,51,Casado,Doutorado,14000,5,Concursado
3,3,3,2,1,4,4,4,4,4,4,4,4,5,4,5,1,2,1,3,1,2,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,Feminino,Parda,53,Casado,Doutorado,26000,5,Concursado
1,1,1,1,2,1,2,1,2,1,2,2,3,1,3,3,1,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Branca,66,Casado,Mestrado,30000,6,Concursado
3,3,2,5,1,2,5,4,5,5,2,4,4,4,4,3,5,3,3,3,1,3,2,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,Masculino,Parda,45,Divorciado,Mestrado,12000,4,Concursado
3,2,1,2,2,3,5,4,4,4,3,4,2,3,5,5,4,4,3,4,2,2,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Masculino,Parda,32,Casado,Doutorado,13000,2,Concursado
3,2,4,2,1,3,2,5,2,3,1,4,5,4,3,4,3,2,4,4,2,5,3,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,Feminino,Branca,37,União estável,Doutorado,10000,3,Concursado
1,1,1,2,1,3,4,3,4,3,2,5,1,3,3,4,3,2,1,3,1,1,2,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,Feminino,Branca,45,Casado,Mestrado,8000,3,Concursado
2,3,2,2,1,3,3,4,1,3,5,4,4,3,4,4,5,4,4,4,4,5,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Feminino,Branca,45,Casado,Doutorado,20000,2,Concursado
3,3,3,3,2,3,4,3,3,3,4,4,3,3,5,5,2,3,3,3,3,3,2,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,Feminino,Branca,30,Casado,Mestrado,14000,2,Concursado
2,3,4,3,2,4,4,4,3,3,4,4,5,4,4,3,4,4,5,4,1,3,4,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,Masculino,Branca,42,Casado,Doutorado,20000,2,Concursado
1,1,2,1,1,1,3,3,2,3,1,1,2,2,3,3,3,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Masculino,Parda,42,Solteiro,Doutorado,10000,1,Concursado
4,4,1,2,1,2,5,5,4,3,4,4,2,4,4,3,4,3,1,3,1,2,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,Masculino,Branca,58,Divorciado,Doutorado,12000,5,Concursado
2,2,2,2,1,1,2,4,4,3,4,3,3,3,3,3,2,2,2,2,1,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Feminino,Branca,47,Divorciado,Doutorado,12000,4,Concursado
2,2,2,2,2,3,4,3,4,4,3,4,3,4,3,5,5,4,5,3,2,2,2,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Masculino,Branca,49,Casado,Doutorado,15000,4,Concursado
4,5,5,5,5,4,5,5,4,4,5,5,4,5,5,4,4,5,4,4,3,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Masculino,Branca,42,Casado,Doutorado,12000,4,Concursado
2,3,4,3,1,5,5,5,4,5,5,5,4,5,5,5,2,3,1,3,2,2,2,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,Feminino,Branca,50,União estável,Doutorado,10000,1,Concursado
3,3,4,3,5,5,5,5,5,4,4,3,4,4,5,4,5,5,4,4,1,5,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,Feminino,Preta,44,Casado,Doutorado,10000,5,Concursado
2,2,2,1,1,3,5,5,5,5,3,5,4,5,3,5,5,5,4,4,3,5,4,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,Masculino,Parda,39,Casado,Doutorado,18000,4,Concursado
3,3,3,4,3,4,4,4,4,4,4,5,4,4,4,4,3,4,3,4,2,3,3,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,Feminino,Branca,60,Casado,Doutorado,30000,2,Concursado
3,2,2,2,2,5,5,5,4,4,5,4,3,4,3,3,4,4,3,4,2,4,3,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,Feminino,Parda,48,Casado,Doutorado,15000,5,Concursado
3,3,3,3,2,2,4,4,2,3,4,2,3,3,3,4,3,3,4,3,1,2,3,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,Masculino,Parda,34,Casado,Doutorado,11000,5,Concursado
1,1,1,1,1,3,2,2,4,4,4,4,1,3,4,3,4,4,3,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminino,Branca,62,Casado,Doutorado,53640,3,Concursado
2,2,1,1,1,3,4,3,3,3,3,4,2,3,4,5,4,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Parda,51,Solteiro,Doutorado,9000,1,Concursado
1,1,1,1,1,5,5,4,3,3,4,4,5,3,2,1,4,1,1,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Parda,37,Solteiro,Doutorado,10000,4,Concursado
4,4,2,2,1,4,5,4,3,3,4,5,4,3,3,3,5,5,5,5,3,5,4,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,Feminino,Branca,52,União estável,Doutorado,20264,1,Concursado
2,3,2,2,2,2,4,4,4,3,4,4,2,3,4,4,4,4,4,4,2,4,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Branca,60,Casado,Doutorado,10000,3,Concursado
2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Parda,61,Casado,Mestrado,18000,1,Concursado
3,3,2,3,3,4,5,5,4,3,4,4,3,5,5,4,2,2,1,3,1,3,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,Masculino,Parda,36,Casado,Doutorado,10000,3,Concursado
2,3,2,4,1,4,5,5,4,4,4,4,3,4,2,3,4,4,4,2,2,2,3,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,Feminino,Branca,60,Divorciado,Doutorado,13000,1,Concursado
2,3,3,2,1,4,4,3,2,4,4,4,3,2,4,5,5,5,3,2,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminino,Parda,48,Casado,Doutorado,40000,5,Concursado
2,2,2,1,1,3,5,5,4,2,2,2,4,3,3,2,3,3,3,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminino,Parda,50,Casado,Doutorado,20000,3,Concursado
3,3,2,3,2,2,3,3,3,4,3,4,2,3,4,4,4,4,3,2,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,Feminino,Branca,52,Casado,Doutorado,50000,3,Concursado
3,2,2,2,1,1,3,3,3,2,2,2,1,1,3,3,1,2,2,2,1,3,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,Masculino,Parda,53,Solteiro,Doutorado,17000,3,Concursado
2,2,3,3,2,5,4,3,3,3,3,5,4,4,3,3,1,1,1,2,1,2,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,Feminino,Branca,46,Casado,Doutorado,15000,4,Concursado
3,2,1,1,2,1,3,3,3,1,1,2,1,1,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Branca,69,Casado,Doutorado,11920,4,Concursado
3,2,3,3,1,3,5,5,5,5,3,5,4,5,3,4,5,5,3,5,1,3,3,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,Feminino,Branca,52,Casado,Doutorado,10000,5,Concursado
3,3,4,1,1,4,5,3,4,4,5,5,3,5,4,3,4,4,4,4,1,3,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,Feminino,Branca,43,Casado,Doutorado,10000,5,Concursado
2,2,2,2,1,3,5,5,5,2,5,5,3,4,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Feminino,Parda,43,União estável,Graduação,12000,5,Concursado
2,2,3,2,1,5,5,5,5,4,4,5,5,5,4,4,3,3,3,4,1,4,4,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Feminino,Parda,37,Casado,Doutorado,25000,4,Concursado
3,2,3,3,1,4,4,3,5,3,3,3,4,4,3,3,3,3,3,3,1,5,2,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,Feminino,Branca,44,Casado,Doutorado,25000,3,Concursado
2,3,2,3,1,4,5,5,5,5,5,5,3,5,4,3,5,3,3,1,1,1,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Feminino,Parda,37,Casado,Doutorado,7500,2,Concursado
1,2,2,2,1,4,3,4,3,2,3,2,1,4,4,4,3,3,2,2,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,Masculino,Branca,32,Casado,Mestrado,22000,4,Concursado
2,2,2,1,1,2,4,4,3,3,3,4,3,3,4,4,1,1,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Branca,43,União estável,Doutorado,19072,1,Concursado
2,3,3,2,1,2,5,3,4,4,2,3,3,3,5,5,5,4,4,3,2,2,3,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,Feminino,Branca,35,Solteiro,Doutorado,16000,2,Concursado
2,2,3,2,1,3,3,4,5,3,2,1,1,4,2,5,1,1,1,2,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,Masculino,Parda,27,Solteiro,Doutorado,8000,4,Substituto ou temporário
2,2,2,2,2,3,3,3,4,3,4,5,2,3,3,4,3,4,3,4,4,3,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Branca,39,Casado,Doutorado,18000,4,Concursado
3,3,3,2,1,3,2,4,4,3,2,3,2,2,3,3,2,2,1,2,1,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Masculino,Branca,41,Casado,Doutorado,15000,3,Concursado
3,3,3,2,2,4,5,4,3,3,1,1,2,2,5,4,1,1,1,3,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,Masculino,Parda,31,Casado,Doutorado,20000,2,Substituto ou temporário
3,3,4,2,1,5,5,4,4,4,5,5,5,5,2,5,3,5,5,3,2,3,2,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,Feminino,Branca,56,Divorciado,Doutorado,12000,2,Concursado
2,2,1,1,1,2,3,3,3,3,3,3,2,4,4,3,2,2,1,1,1,2,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,Feminino,Parda,44,Solteiro,Doutorado,7000,4,Concursado
2,3,3,4,1,4,5,5,5,4,3,5,5,4,5,5,4,5,3,3,5,5,2,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,Masculino,Parda,54,Casado,Doutorado,19000,3,Concursado
4,3,3,4,4,1,3,4,4,3,4,4,3,3,5,4,3,3,3,4,2,2,2,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Masculino,Parda,52,Casado,Doutorado,13000,3,Concursado
1,1,1,1,1,1,2,2,2,1,3,2,1,1,3,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Branca,66,Casado,Mestrado,30000,10,Concursado
2,2,3,2,1,3,4,4,3,3,3,5,3,5,3,5,5,4,2,4,1,2,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,Feminino,Branca,43,União estável,Doutorado,17000,4,Concursado
3,3,3,4,1,5,5,5,4,3,5,4,4,5,5,3,5,4,5,5,2,5,3,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,Masculino,Branca,30,Solteiro,Doutorado,12000,3,Concursado
2,2,2,1,1,2,4,4,5,5,4,4,4,5,5,5,1,1,2,3,1,2,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,Feminino,Parda,49,União estável,Doutorado,14000,2,Concursado
4,4,3,4,1,4,4,4,4,3,4,4,4,4,4,4,4,4,5,3,2,3,3,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,Feminino,Branca,52,Solteiro,Doutorado,14000,3,Concursado
2,2,1,1,2,2,2,3,2,2,3,3,1,3,3,4,5,3,3,2,1,2,2,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,Masculino,Branca,37,Solteiro,Doutorado,12000,1,Concursado
3,3,3,3,2,4,4,5,4,4,5,4,4,5,3,4,5,3,3,3,2,2,3,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,Feminino,Branca,49,Solteiro,Doutorado,15000,3,Concursado
4,4,2,3,1,4,3,4,4,4,5,5,4,4,4,3,3,2,2,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Feminino,Parda,54,Solteiro,Doutorado,12000,3,Concursado
4,4,4,3,1,4,4,4,3,4,3,4,3,3,5,5,3,4,3,4,2,2,2,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,Feminino,Branca,75,Casado,Doutorado,18000,4,Concursado
3,3,1,2,1,5,3,5,3,3,3,3,3,3,5,3,4,3,3,4,5,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Parda,56,União estável,Doutorado,14304,5,Concursado
2,2,3,2,2,2,3,5,4,3,3,3,3,4,4,2,4,5,4,4,1,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Feminino,Parda,66,Solteiro,Doutorado,12000,3,Concursado
4,4,2,3,1,2,4,4,4,4,4,4,3,4,4,4,2,2,2,2,2,2,2,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,Feminino,Branca,63,União estável,Doutorado,15000,3,Concursado
2,2,3,2,1,3,2,3,2,3,3,2,3,3,3,4,2,2,2,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminino,Branca,46,Casado,Doutorado,23000,4,Concursado
4,3,1,4,1,1,4,5,5,4,4,3,2,4,3,5,3,3,2,3,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Parda,60,Casado,Doutorado,21000,7,Concursado
2,3,2,4,1,5,5,5,5,5,4,4,5,5,5,5,3,2,2,2,1,3,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,Feminino,Parda,50,Solteiro,Doutorado,10000,3,Concursado
2,2,1,1,1,4,4,5,4,3,4,3,2,3,3,2,3,4,4,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Feminino,Branca,63,Solteiro,Doutorado,10000,4,Concursado
